FactID,FechaID,ClienteID,SegmentoID,CiudadID,ComercialID,ProyectoID,Ventas,Costos,Gastos,Utilidad,RentabilidadPorcentaje,MateriaPrima,ManoObra,CostosIndirectos
20,77,6,4,2,3,29,121972.34,93452.42,26730.66,1789.26,1.47,57658.53,18995.09,16798.8
21,694,4,6,9,1,50,6026.89,3856.06,1518.55,652.28,10.82,2663.48,543.16,649.42
22,178,4,1,4,3,55,534064.09,308115.72,108100.07,117848.3,22.07,179349.1,69267.28,59499.33
23,1014,5,2,7,5,31,97273.6,77527.34,23039.26,-3293.0,-3.39,47849.35,8726.37,20951.62
24,599,6,8,9,4,6,501821.75,175350.84,24148.6,-302322.31,-60.24,111218.59,37870.66,26261.59
25,383,3,4,4,5,26,83206.03,49299.16,11513.98,22392.89,26.91,32285.83,5668.94,11344.4
26,1141,6,8,2,4,46,436247.23,315018.37,10432.09,110796.77,25.4,230149.42,73140.46,11728.49
27,406,2,4,8,5,38,162749.85,65097.89,42911.82,54740.14,33.63,38793.46,9480.25,16824.18
28,775,3,2,3,3,42,353870.73,217639.79,98954.49,37276.45,10.53,145443.0,43127.28,29069.51
29,1442,10,5,2,2,13,705746.82,593756.41,67968.23,44022.18,6.24,407468.51,102794.28,83493.62
30,925,9,2,6,5,10,33593.61,21974.68,9562.91,2056.02,6.12,12320.84,3404.88,6248.96
31,863,5,4,6,5,54,390012.72,320570.86,18649.65,50792.21,13.02,221109.04,63093.56,36368.25
32,1244,3,8,9,3,75,344955.02,186999.93,8017.25,149937.84,43.47,110184.2,45278.0,31537.73
33,362,6,3,4,3,72,1570825.23,644409.97,166035.94,760379.32,48.41,364067.06,68430.19,211912.72
34,1217,3,1,7,5,22,68531.56,18362.13,11912.31,-38257.12,-55.82,13995.1,4367.03,0.0
35,1191,6,5,6,2,27,1982368.4,1576756.72,126950.81,278660.87,14.06,1217406.56,301731.71,57618.45
36,126,10,4,6,3,50,54272.61,22294.19,11033.58,20944.84,38.59,16406.99,4929.18,958.01
37,198,6,7,3,5,61,1315492.65,394343.64,211198.87,709950.14,53.97,244517.18,62141.16,87685.3
38,217,3,5,9,4,21,2132418.05,1655035.53,115664.92,361717.6,16.96,947449.23,282641.09,424945.21
39,511,3,8,3,1,87,207142.03,91089.01,53147.33,62905.69,30.37,64433.96,20980.31,5674.74
40,380,4,8,3,2,100,91389.96,61431.89,22044.43,7913.64,8.66,40006.6,9965.92,11459.37
41,709,4,2,3,5,54,249750.61,168307.8,46302.98,35139.83,14.07,97293.49,30328.89,40685.43
42,682,3,5,3,2,21,1199263.32,676631.57,289408.0,233223.75,19.45,449209.4,69712.84,157709.34
43,372,10,8,8,4,28,16247.68,8904.62,3800.04,3543.02,21.81,4967.97,1102.3,2834.35
44,738,6,1,7,5,16,117654.26,86980.09,9670.23,21003.94,17.85,66030.39,17070.1,3879.6
45,304,6,5,2,5,76,361287.05,94069.34,76459.42,190758.29,52.8,57337.09,19523.77,17208.49
46,651,8,6,3,1,95,13518.75,11881.53,3569.81,-1932.59,-14.3,8345.35,2226.48,1309.7
47,1198,9,3,5,2,100,1113342.57,584179.44,267659.21,261503.92,23.49,363180.59,70975.76,150023.09
48,707,7,4,7,2,38,116714.1,53090.55,14110.07,49513.48,42.42,35550.26,8856.08,8684.21
49,164,4,5,6,3,15,52240.06,37488.88,5667.67,9083.51,17.39,25332.86,5745.7,6410.31
50,269,3,6,7,5,2,230838.47,63593.39,47972.82,119272.26,51.67,37680.13,11087.46,14825.8
51,1420,6,6,6,5,95,171645.41,62638.39,41543.13,67463.89,39.3,48197.15,14441.24,0.0
52,1089,6,8,9,3,82,98020.49,28593.75,23224.21,46202.53,47.14,20824.27,6187.09,1582.38
53,185,6,5,3,3,82,542202.92,475836.55,112834.28,-46467.91,-8.57,364531.13,53578.45,57726.98
54,172,3,3,3,1,44,415087.74,157355.12,18459.03,239273.59,57.64,118930.62,36749.72,1674.78
55,1218,8,3,1,4,34,270832.37,166101.77,65294.63,39435.97,14.56,114197.79,28364.38,23539.6
56,1241,1,6,8,2,57,214996.89,101455.59,40493.74,73047.56,33.98,77312.31,21465.9,2677.37
57,353,1,4,4,1,12,404107.1,202208.55,115098.95,86799.6,21.48,115330.31,24468.42,62409.82
58,328,6,4,6,2,53,170392.74,103614.43,33435.26,33343.05,19.57,61658.47,20785.88,21170.09
59,981,5,8,2,3,43,38447.37,18883.63,8429.35,11134.39,28.96,10582.43,2557.77,5743.43
60,929,3,4,1,3,30,189481.86,163478.43,21549.6,4453.83,2.35,102145.57,27097.72,34235.14
61,870,10,2,2,3,50,602063.79,447259.85,163696.95,-8893.01,-1.48,285976.06,45857.3,115426.49
62,26,6,3,6,2,19,433291.68,320658.37,190097.15,-77463.84,-17.88,196374.48,39358.12,84925.77
63,1454,4,6,7,2,55,233797.54,183055.51,10083.89,40658.14,17.39,135572.67,20833.93,26648.91
64,1141,3,5,7,1,86,157437.68,126271.02,5144.14,26022.52,16.53,79810.01,17168.01,29293.0
65,784,9,7,1,2,60,13018016.61,3777686.46,2221741.57,7018588.58,53.91,2321822.53,434444.19,1021419.74
66,1386,8,2,6,5,44,29159.68,25915.09,1423.34,1821.25,6.25,17488.02,5281.15,3145.92
67,892,7,3,8,4,74,403022.51,336315.52,47986.28,18720.71,4.65,195874.39,35096.54,105344.6
68,548,6,7,1,5,71,562741.41,95301.37,158775.14,308664.9,54.85,69999.36,18360.86,6941.14
69,409,6,3,1,1,20,11346387.49,6571582.14,3179139.28,1595666.07,14.06,3727050.78,795859.17,2048672.18
70,657,6,3,9,3,26,297763.29,231962.99,50152.72,15647.58,5.26,175880.32,56082.67,0.0
71,381,9,3,8,5,72,200255.54,71048.89,48813.02,80393.63,40.15,51696.33,17049.18,2303.38
72,430,2,1,1,3,70,247315.52,77908.58,71882.93,97524.01,39.43,46410.5,10426.15,21071.93
73,477,5,1,4,4,52,90334.39,46551.43,23428.57,20354.39,22.53,25662.41,8945.47,11943.55
74,454,3,3,5,4,38,213216.02,61387.36,25605.52,126223.14,59.2,45276.62,6396.61,9714.12
75,142,4,1,1,5,42,624488.52,336209.14,14904.98,273374.4,43.78,239574.96,80612.29,16021.89
76,80,10,2,1,5,52,104551.08,83221.6,7971.61,13357.87,12.78,59725.78,14850.74,8645.08
77,368,2,8,6,4,82,197166.78,63198.33,50730.51,83237.94,42.22,45969.97,6729.58,10498.78
78,415,8,6,6,2,54,8819.79,6699.74,267.65,1852.4,21.0,3798.96,1014.17,1886.61
79,434,3,3,1,5,41,247125.43,176732.78,25132.48,45260.17,18.31,111774.14,19710.55,45248.09
80,829,8,2,7,4,29,32925.64,22180.07,6427.1,4318.47,13.12,12790.13,3525.34,5864.6
81,175,7,2,7,3,93,122057.99,101818.15,17011.89,3227.95,2.64,76212.29,20413.41,5192.45
82,586,9,7,6,4,42,1092298.19,369573.21,110820.46,611904.52,56.02,256246.75,63006.13,50320.33
83,6,4,4,8,3,41,25935.35,11562.03,800.76,13572.56,52.33,7239.06,1821.69,2501.27
84,310,7,6,6,3,73,64732.16,53698.57,6406.71,4626.88,7.15,30319.2,6329.64,17049.73
85,389,5,1,1,4,79,184810.63,120279.91,43610.35,20920.37,11.32,74757.08,16447.18,29075.65
86,78,4,8,2,3,21,1103537.29,578979.46,103272.97,421284.86,38.18,361741.83,66595.08,150642.55
87,707,3,1,7,1,59,328061.06,96603.09,17257.88,214200.09,65.29,69342.61,21361.34,5899.14
88,656,2,2,5,3,40,51990.55,39694.45,12029.03,267.07,0.51,27652.67,4774.69,7267.09
89,38,3,7,9,1,21,209105.13,49811.49,16350.88,142942.76,68.36,37560.8,9429.61,2821.08
90,645,1,7,5,4,55,640630.83,185608.19,161963.6,293059.04,45.75,122243.3,28103.13,35261.75
91,1420,6,6,5,1,20,572602.62,171680.18,113837.82,287084.62,50.14,99146.45,22987.42,49546.31
92,1387,1,7,1,1,82,1283323.29,221772.31,58213.08,1003337.9,78.18,158355.7,43449.69,19966.92
93,1195,8,8,6,4,38,44427.45,26710.79,9075.89,8640.77,19.45,19364.8,4502.11,2843.87
94,540,2,3,5,1,61,464507.69,360301.64,12062.45,92143.6,19.84,244678.59,57656.12,57966.92
95,606,8,3,1,5,24,1638775.43,561237.41,120599.52,956938.5,58.39,408200.57,106033.35,47003.49
96,333,5,7,1,1,56,5212666.38,1807386.65,814125.24,2591154.49,49.71,1199332.96,313925.25,294128.44
97,704,8,3,8,3,85,253557.63,207011.71,24524.8,22021.12,8.68,138745.16,30124.89,38141.66
98,489,7,1,6,3,87,120518.92,82754.57,9763.9,28000.45,23.23,53652.64,15215.19,13886.74
99,77,4,5,3,4,78,205355.02,111591.17,21727.38,72036.47,35.08,62027.55,22365.64,27197.98
100,347,1,1,1,2,7,114923.02,71195.38,30387.74,13339.9,11.61,40924.17,7404.6,22866.6
101,171,7,3,5,5,6,438423.76,323118.14,34778.79,80526.83,18.37,180050.71,54891.55,88175.88
102,528,2,3,3,1,96,530918.87,273328.26,47591.96,209998.65,39.55,190338.8,29697.8,53291.66
103,1120,6,1,6,3,75,82211.26,24167.58,8869.95,49173.73,59.81,15039.53,3092.5,6035.55
104,148,5,1,8,1,90,144215.16,119307.25,26545.72,-1637.81,-1.14,79574.51,21961.64,17771.1
105,1049,10,6,6,5,23,52757.38,33891.55,8779.3,10086.53,19.12,25714.88,7792.63,384.04
106,1253,6,2,7,1,82,23431.76,19423.72,13471.4,-9463.36,-40.39,11796.75,4514.48,3112.49
107,683,5,7,7,3,83,219528.52,79985.26,43614.56,95928.7,43.7,51541.55,8837.7,19606.01
108,130,5,2,8,3,19,96960.26,60801.87,29006.93,7151.46,7.38,44006.98,9902.54,6892.35
109,139,5,1,6,1,51,258985.36,144777.8,51038.54,63169.02,24.39,87246.52,27138.74,30392.54
110,1008,9,4,2,5,81,558718.28,227217.85,95994.89,235505.54,42.15,128992.8,27734.32,70490.73
111,989,6,3,1,3,71,352924.24,256278.09,69718.18,26927.97,7.63,158032.05,55052.33,43193.71
112,1409,5,3,3,1,3,1046651.76,324316.55,233190.19,489145.02,46.73,190400.05,68636.83,65279.67
113,630,8,6,6,2,32,270915.69,77167.91,48045.1,145702.68,53.78,58943.2,18173.13,51.58
114,1209,9,6,3,2,51,224944.52,71469.14,36434.47,117040.91,52.03,52591.83,7237.89,11639.42
115,1009,2,4,9,1,95,5082.49,1983.99,1253.92,1844.58,36.29,1380.23,262.88,340.88
116,919,2,6,1,1,22,440132.69,286082.09,42315.31,111735.29,25.39,214686.28,64104.7,7291.1
117,4,6,5,9,2,87,243540.64,122872.81,83697.55,36970.28,15.18,90292.42,24646.69,7933.7
118,1068,7,7,2,4,43,5423603.48,2039133.44,610840.0,2773630.04,51.14,1209024.88,477480.38,352628.18
119,1333,3,3,6,4,95,611873.74,262146.43,90344.97,259382.34,42.39,197996.2,28463.06,35687.17
120,202,4,7,4,1,25,898017.0,359046.75,40452.51,498517.74,55.51,242015.0,68055.37,48976.38
121,57,5,7,5,5,46,492586.63,96510.68,125345.42,270730.53,54.96,71003.99,17888.93,7617.76
122,793,4,7,1,3,79,265437.59,75213.9,66024.05,124199.64,46.79,56869.3,7923.87,10420.72
123,931,3,6,3,4,43,119672.47,99864.92,13393.48,6414.07,5.36,62229.91,17678.92,19956.1
124,522,5,3,2,4,16,289396.2,177504.62,65712.51,46179.07,15.96,102120.53,33979.36,41404.73
125,1124,8,8,8,4,52,222135.9,60181.48,9227.73,152726.69,68.75,36254.83,7744.99,16181.65
126,1326,4,3,2,4,56,738416.99,562717.97,170614.15,5084.87,0.69,364773.37,79342.92,118601.69
127,1439,6,2,8,1,54,52154.48,45752.57,34102.28,-27700.37,-53.11,33771.96,8969.89,3010.73
128,1331,8,7,8,2,80,276341.45,106290.19,16610.42,153440.84,55.53,79501.66,18095.39,8693.14
129,587,7,5,8,5,82,68093.79,22549.09,7270.5,38274.2,56.21,12438.06,5157.02,4954.01
130,1294,2,3,4,1,20,300029.7,217681.44,42317.73,40030.53,13.34,145296.24,32947.67,39437.53
131,929,7,7,9,4,42,313104.87,101419.07,86895.16,124790.64,39.86,65517.18,14198.56,21703.33
132,136,6,7,8,5,19,604973.85,202049.42,53011.32,349913.11,57.84,121448.83,50053.68,30546.9
133,777,3,2,1,1,90,116354.93,88310.43,32943.12,-4898.62,-4.21,51005.37,20900.46,16404.6
134,21,9,7,6,3,43,406652.04,126647.64,8492.92,271511.48,66.77,79490.58,13215.54,33941.52
135,1361,2,3,8,2,81,631250.48,234351.13,68620.2,328279.15,52.0,179716.67,50528.28,4106.18
136,94,9,1,7,1,99,180169.34,95485.96,46405.19,38278.19,21.25,59615.39,11128.91,24741.66
137,1294,8,3,4,3,46,299490.66,255310.84,75171.74,-30991.92,-10.35,170885.12,26583.67,57842.04
138,1149,5,5,6,5,61,210957.52,53308.91,9749.8,147898.81,70.11,37939.65,7519.45,7849.81
139,592,6,4,4,2,18,80589.88,24038.48,2619.03,53932.37,66.92,15231.62,3375.05,5431.81
140,801,8,4,8,4,53,97862.53,55112.54,17422.89,25327.1,25.88,42630.09,12284.46,197.98
141,800,5,2,5,2,99,71756.63,51192.68,2337.71,18226.24,25.4,39488.13,10576.41,1128.13
142,907,2,1,8,1,30,110392.66,63571.31,28651.27,18170.08,16.46,38645.63,15717.46,9208.22
143,925,1,8,1,3,35,2385388.04,739238.34,611722.11,1034427.59,43.37,491125.67,152820.48,95292.19
144,1166,3,1,3,5,4,156626.52,59808.39,14077.32,82740.81,52.83,37033.48,9733.12,13041.8
145,385,4,4,5,1,68,87703.88,45544.4,13824.12,28335.36,32.31,28033.18,9329.28,8181.94
146,1006,10,2,8,3,10,272578.55,196370.12,62821.16,13387.27,4.91,109669.57,49076.6,37623.95
147,310,7,8,5,1,16,132391.56,77635.86,26682.95,28072.75,21.2,53584.25,16033.46,8018.15
148,1069,9,6,4,1,11,62498.33,26864.74,17401.46,18232.13,29.17,17881.61,5755.83,3227.3
149,819,6,5,7,5,60,29860.51,18987.6,2381.57,8491.34,28.44,10668.0,4571.35,3748.25
150,1394,8,6,2,4,51,978573.49,580734.26,188959.68,208879.55,21.35,356622.34,67973.6,156138.32
151,1070,2,7,2,5,3,439893.13,122199.69,106106.4,211587.04,48.1,92737.49,25138.63,4323.57
152,81,7,4,4,3,18,162758.04,125789.04,34418.47,2550.53,1.57,76114.85,28632.21,21041.97
153,26,9,4,1,1,39,174848.78,141296.56,31114.96,2437.26,1.39,82421.93,34357.22,24517.41
154,429,8,6,6,2,89,118438.41,76385.09,16295.33,25757.99,21.75,50610.78,10055.75,15718.56
155,1213,1,8,7,5,94,38380.91,20386.04,3429.62,14565.25,37.95,15833.83,3579.57,972.64
156,999,8,1,2,4,80,2326723.4,1010180.07,294962.75,1021580.58,43.91,611838.5,204140.45,194201.12
157,991,9,4,2,1,67,60570.16,48900.88,6240.0,5429.28,8.96,34455.13,6705.3,7740.45
158,234,9,7,6,5,74,483728.72,152068.27,110775.65,220884.8,45.66,110275.73,28903.76,12888.78
159,1415,7,1,7,3,25,121787.06,34772.66,26008.55,61005.85,50.09,21025.52,4820.77,8926.37
160,644,2,7,7,3,28,343443.19,53880.32,40696.48,248866.39,72.46,38658.58,8083.05,7138.69
161,276,3,7,9,2,50,460413.82,104008.64,123169.52,233235.66,50.66,66002.86,17289.13,20716.66
162,47,3,4,4,3,16,312355.89,130303.41,70380.56,111671.92,35.75,90616.94,23373.63,16312.83
163,948,9,6,2,2,72,158694.05,124109.99,5765.55,28818.51,18.16,86344.79,20776.62,16988.58
164,1005,9,1,8,2,91,106336.3,72590.05,11814.27,21931.98,20.63,48869.67,12629.17,11091.21
165,239,6,7,6,4,85,116284.28,18847.9,4143.43,93292.95,80.23,10757.75,2728.96,5361.19
166,25,9,5,1,2,11,295922.05,95544.08,12756.09,187621.88,63.4,70905.13,11832.63,12806.31
167,404,2,6,1,5,5,136788.27,110239.15,29148.07,-2598.95,-1.9,68764.91,11806.89,29667.35
168,858,6,2,6,2,65,817706.67,644289.52,83014.11,90403.04,11.06,381998.78,83369.01,178921.73
169,118,10,2,2,4,12,1128617.24,691133.7,40190.91,397292.63,35.2,386605.18,129443.5,175085.02
170,61,2,6,7,2,13,121081.15,42198.35,11134.12,67748.68,55.95,28944.08,9195.75,4058.52
171,299,6,3,4,4,51,411611.33,162753.8,93215.01,155642.52,37.81,114878.11,20407.23,27468.46
172,256,3,8,8,5,47,2719844.01,2141615.04,636340.87,-58111.9,-2.14,1186058.96,249034.07,706522.0
173,285,2,6,2,2,32,81863.87,33579.64,3877.2,44407.03,54.24,22423.86,7132.1,4023.68
174,1060,6,7,1,1,30,2466022.26,839885.79,118508.31,1507628.16,61.14,505690.22,122433.3,211762.27
175,1370,6,5,3,3,79,265970.85,153273.83,213983.25,-101286.23,-38.08,107044.87,37203.38,9025.58
176,564,6,1,2,3,68,158697.85,84069.72,42792.9,31835.23,20.06,49609.9,17414.85,17044.97
177,1097,7,1,9,5,94,944739.12,414958.74,177236.03,352544.35,37.32,294170.76,61834.42,58953.57
178,776,6,4,7,4,55,21923.39,14700.46,2417.7,4805.23,21.92,9392.85,2108.51,3199.11
179,767,1,4,8,2,35,250038.04,123265.35,73946.48,52826.21,21.13,94353.2,22009.61,6902.53
180,1091,3,2,9,1,2,45731.21,38662.36,8067.38,-998.53,-2.18,22487.18,4325.22,11849.95
181,1098,6,8,1,1,33,5603637.06,3738275.58,894661.78,970699.7,17.32,2349301.57,439813.64,949160.37
182,765,8,1,3,2,70,431757.98,220441.54,32688.79,178627.65,41.37,126996.13,27859.11,65586.3
183,655,5,4,1,4,82,100062.16,48403.65,25004.85,26653.66,26.64,36916.47,10465.28,1021.89
184,969,1,2,5,2,95,86506.73,65789.72,10636.14,10080.87,11.65,49459.93,11649.95,4679.84
185,710,3,2,7,3,37,61253.38,43967.81,4866.16,12419.41,20.28,26790.76,4466.47,12710.58
186,1274,1,7,1,2,13,2198733.32,759171.24,556333.28,883228.8,40.17,532783.59,152614.28,73773.37
187,887,2,8,2,5,75,454543.34,177576.5,11703.13,265263.71,58.36,131044.55,29043.26,17488.69
188,108,1,8,4,1,89,1133622.82,673584.06,96017.77,364020.99,32.11,456485.35,118973.71,98125.0
189,668,2,6,1,4,92,3616032.87,3074977.59,743667.73,-202612.45,-5.6,2065830.32,406258.16,602889.12
190,448,1,8,4,1,55,435670.66,366362.66,118600.02,-49292.02,-11.31,221878.76,66959.13,77524.77
191,1072,7,6,6,1,57,710192.19,412483.95,120452.88,177255.36,24.96,235698.95,101831.14,74953.85
192,252,10,8,3,2,92,256026.04,67054.81,11899.5,177071.73,69.16,50717.55,7444.2,8893.06
193,1331,9,2,2,5,25,3484753.07,2646110.47,986932.45,-148289.85,-4.26,2003360.06,377302.57,265447.84
194,381,10,4,1,5,55,510116.71,443479.1,130813.17,-64175.56,-12.58,308489.98,60512.56,74476.56
195,247,4,1,6,1,56,86466.88,29674.01,12714.52,44078.35,50.98,18634.59,4073.72,6965.7
196,1045,7,6,7,5,31,119624.09,51760.84,12219.6,55643.65,46.52,32625.8,8116.41,11018.63
197,1180,3,6,4,2,82,196638.47,140644.8,55883.32,110.35,0.06,100838.07,31323.91,8482.81
198,1219,3,1,1,3,52,1319736.89,924361.69,376394.37,18980.83,1.44,699127.43,219007.91,6226.35
199,1005,7,1,6,5,42,71549.83,19091.47,4755.99,-47702.37,-66.67,14395.54,2488.23,2207.7
200,1196,4,7,5,2,66,668495.33,266495.43,169514.86,232485.04,34.78,194374.14,48353.59,23767.7
201,596,6,6,3,1,100,125600.13,62901.51,16635.31,46063.31,36.67,43884.33,12299.44,6717.75
202,328,2,7,7,1,1,10208665.99,3742420.72,885972.7,5580272.57,54.66,2130755.44,667176.76,944488.52
203,1081,1,7,8,1,70,1642401.38,668994.83,361329.91,612076.64,37.27,392816.77,110458.71,165719.34
204,800,8,5,8,3,62,91282.02,55735.3,21630.57,13916.15,15.25,42173.09,7178.5,6383.71
205,961,9,3,6,5,28,246922.95,91931.11,59147.91,95843.93,38.82,63384.54,15925.49,12621.08
206,223,3,2,7,5,87,206128.47,155371.65,63942.73,-13185.91,-6.4,85783.07,24887.78,44700.8
207,1030,10,7,5,2,90,364660.94,151799.05,125855.38,87006.51,23.86,87032.23,33294.77,31472.05
208,1225,4,4,6,1,82,18866.01,15277.45,1062.89,2525.67,13.39,10734.02,3277.63,1265.8
209,1226,2,5,3,2,79,595638.13,291098.29,70625.09,233914.75,39.27,160442.95,34960.85,95694.5
210,1245,9,6,1,2,15,952896.0,797282.9,47632.97,107980.13,11.33,467993.78,90314.5,238974.62
211,1414,10,8,8,4,46,671028.73,203197.56,180466.25,287364.92,42.82,137403.97,47999.96,17793.63
212,88,5,3,8,1,3,36836.29,17084.35,1358.5,18393.44,49.93,12115.13,3080.76,1888.47
213,1048,8,2,5,3,82,99513.06,75564.96,7392.97,16555.13,16.64,52891.78,17279.45,5393.73
214,23,4,5,6,4,86,269643.36,97970.67,68274.91,103397.78,38.35,58937.39,10651.63,28381.65
215,846,6,7,2,4,63,956967.43,299277.71,234838.13,422851.59,44.19,213624.79,53563.93,32088.99
216,286,8,7,6,3,35,964550.67,360080.57,53448.63,551021.47,57.13,217692.93,65143.61,77244.03
217,741,7,7,4,2,84,619891.49,184190.31,78365.23,357335.95,57.64,115089.83,42198.98,26901.5
218,632,7,6,9,4,22,23030.35,10615.14,4352.28,8062.93,35.01,7660.87,1216.94,1737.33
219,836,5,3,2,1,94,112096.61,51921.48,24367.36,35807.77,31.94,36314.69,7064.79,8542.0
220,1284,8,3,6,5,36,1342431.76,598908.56,301115.24,442407.96,32.96,446379.36,96412.75,56116.46
221,390,4,7,9,1,14,1289296.97,398780.36,122567.71,767948.9,59.56,279645.11,91670.12,27465.13
222,1189,10,7,9,4,56,166373.16,66814.86,26109.84,73448.46,44.15,45481.61,16091.19,5242.06
223,812,4,7,5,4,92,171189.63,26575.13,20402.7,124211.8,72.56,15188.89,6614.78,4771.46
224,1098,9,5,5,3,41,836794.41,472461.41,177191.71,187141.29,22.36,299812.03,115223.43,57425.96
225,988,5,5,9,4,26,398161.0,253455.82,37319.44,107385.74,26.97,154860.63,25571.48,73023.71
226,173,9,3,9,1,29,322344.27,124427.19,46572.54,151344.54,46.95,75417.51,13333.15,35676.53
227,273,8,8,7,3,73,18452.89,13286.22,4560.66,606.01,3.28,10280.78,1622.79,1382.65
228,35,2,1,5,4,86,260339.44,70614.53,64500.01,125224.9,48.1,45222.43,10756.66,14635.44
229,355,9,5,1,2,51,44722.67,14910.57,1938.23,27873.87,62.33,11260.03,3347.24,303.3
230,1394,4,1,9,4,25,96570.76,32872.37,26766.3,36932.09,38.24,22851.62,7688.8,2331.96
231,483,7,7,3,2,87,180799.67,49452.6,39032.92,92314.15,51.06,36239.19,6331.18,6882.23
232,255,5,3,2,4,23,314677.44,99554.76,34784.31,180338.37,57.31,66264.3,19209.05,14081.41
233,512,9,5,8,5,35,411349.78,283006.39,121167.57,7175.82,1.74,193205.04,67243.53,22557.82
234,171,1,3,3,1,10,437248.96,280150.11,21668.3,135430.55,30.97,185817.7,47502.19,46830.22
235,490,7,4,1,1,42,352108.41,202453.32,64050.52,85604.57,24.31,120440.67,23389.74,58622.91
236,319,9,6,2,4,25,291145.43,97884.96,79878.84,113381.63,38.94,70101.68,16510.46,11272.82
237,1367,1,4,8,5,7,1996.16,1103.91,468.65,423.6,21.22,678.44,172.62,252.85
238,1373,2,6,8,4,81,16554.96,8378.15,1546.87,6629.94,40.05,4654.84,1563.77,2159.54
239,1395,1,1,7,1,41,281142.32,232979.51,32240.03,15922.78,5.66,162726.55,38627.72,31625.24
240,1292,3,7,5,3,53,978128.88,191462.3,246408.59,540257.99,55.23,113103.57,19644.39,58714.34
241,1010,9,4,9,3,82,1124315.78,462337.61,332391.12,329587.05,29.31,347169.47,115168.14,0.0
242,985,9,6,9,2,30,225965.11,83285.37,12879.6,129800.14,57.44,64080.06,15118.88,4086.43
243,493,10,8,6,4,65,163819.51,111560.07,21564.49,30694.95,18.74,84832.38,19081.75,7645.95
244,648,2,8,4,2,14,1037259.34,690531.15,135445.97,211282.22,20.37,438581.54,167932.07,84017.54
245,479,8,3,1,5,20,741797.27,548274.52,561792.86,-368270.11,-49.65,303500.11,67645.59,177128.81
246,812,3,8,1,2,83,449506.48,242503.16,95158.29,111845.03,24.88,185154.38,31133.92,26214.86
247,1385,4,2,1,1,92,320605.95,267283.82,55885.46,-2563.33,-0.8,173328.84,59123.77,34831.21
248,590,8,6,6,3,51,118690.0,42839.54,29743.51,46106.95,38.85,33086.29,5960.04,3793.22
249,1346,3,6,8,3,10,120118.44,45899.57,38831.16,35387.71,29.46,35417.6,10092.58,389.38
250,103,4,5,5,3,23,250646.39,198803.99,33345.24,18497.16,7.38,148345.98,27977.69,22480.32
251,1268,10,7,2,3,47,2121791.22,355359.12,445984.22,1320447.88,62.23,219513.59,37304.94,98540.59
252,1093,2,6,8,3,7,21635.32,12587.14,3077.4,5970.78,27.6,8037.8,2234.87,2314.46
253,411,5,3,7,1,77,439149.03,346585.43,67795.29,24768.31,5.64,258470.05,44883.84,43231.54
254,1010,6,4,2,3,21,355652.7,281914.56,76602.45,-2864.31,-0.81,175602.34,60238.64,46073.58
255,658,1,4,5,4,59,73402.03,33545.62,21068.32,18788.09,25.6,19757.81,6580.98,7206.83
256,1303,4,1,1,4,71,5498699.93,2323204.84,1100588.49,2074906.6,37.73,1575282.24,554178.21,193744.39
